brute,dp,bnb
5667.196,543.513,30.001
5656.587,516.817,36.008
44263.321,1338.68,246.041
42552.791,1352.823,293.25
43143.734,1282.786,255.568
46126.107,1300.179,263.061
44337.403,1452.84,262.111
42509.643,1326.309,266.154
42767.771,1265.279,251.056
44766.554,1299.847,258.107
44190.96,1228.699,246.058
44466.833,1319.397,276.866
44775.128,1311.39,270.656
44973.748,1268.318,267.029
42681.048,1306.844,256.058
42485.471,1247.22,250.97
44566.719,1302.279,255.064
44503.423,1508.829,264.072
42670.239,1296.258,253.059
44552.932,1292.824,262.01
42508.061,1285.048,280.119
44886.806,1437.881,266.833
42873.324,1449.576,262.051
45182.218,1308.718,284.07
44781.689,1251.725,261.066
42815.874,1411.604,265.072
42688.827,1402.825,253.069
45076.939,1300.028,267.066
45494.347,1248.794,263.072
42843.885,1432.338,277.061
42993.359,1281.327,257.111
44876.787,1306.411,274.068
43381.409,1292.626,283.063
43069.924,1251.106,266.069
45898.929,1422.833,264.062
43158.851,1252.268,276.058
45090.077,1305.947,258.063
45586.133,1465.413,249.584
45275.761,1414.351,266.062
45578.562,1256.489,267.054
45583.839,1318.859,261.118
45234.07,1264.502,279.06
43671.272,1460.322,317.07
45550.04,1284.585,276.325
43635.306,1310.07,254.056
43641.91,1320.38,310.086
43597.865,1252.24,252.057
43656.444,1302.334,270.541
45610.489,1253.664,262.045
43466.874,1433.696,271.061
44980.422,1248.259,257.071
45353.359,1385.013,283.06
44213.294,1329.9,269.07
45604.104,1377.324,323.48
45668.555,1497.83,263.048
44136.016,1224.783,295.083
44136.016,1436.208,266.061
43164.088,1294.142,276.056
43958.861,1300.032,254.102
45784.835,1291.336,257.609
43869.353,1311.959,262.063
43338.295,1290.313,272.067
43469.089,1494.357,272.06
44091.227,1304.803,288.072
44091.227,1564.778,300.073
46133.838,1279.792,275.341
45179.498,1208.287,258.058
45179.498,1263.784,269.928
44463.411,1265.812,263.065
44007.074,1313.292,249.072
45694.841,1329.244,253.045
46509.669,1333.703,266.067
44925.812,1402.907,263.077
47706.805,1333.805,257.058
43305.334,1288.382,255.049
43864.872,1310.687,264.069
44056.636,1409.89,257.058
44257.526,1321.342,260.071
46623.582,1354.329,270.588
43980.553,1354.298,254.056
44402.524,1234.769,249.063
47986.168,1320.831,253.625
44759.34,1386.881,263.058
45381.356,1467.331,267.054
46720.489,1288.941,268.066
46707.545,1289.573,258.064
46299.087,1286.58,318.071
46762.859,1388.829,278.047
46325.008,1296.819,264.058
45434.61,1285.638,266.058
44992.928,1385.647,266.119
46717.638,1365.321,263.127
44293.927,1293.172,263.064
46953.925,1461.566,257.639
44315.149,1307.173,269.121
46756.61,1269.622,262.057
47346.037,1294.825,263.059
44504.312,1291.474,268.058
43945.628,1400.868,263.062
46847.366,1281.951,269.059
45295.471,1310.815,261.119
46823.996,1414.846,280.629
47806.279,1447.687,261.059
46557.43,1332.612,269.059
47157.027,1295.461,258.595
47494.764,1297.849,265.097
46420.484,1534.941,258.056
46653.415,1303.975,270.061
47299.502,1315.136,259.056
44855.638,1362.323,261.052
46575.907,1324.311,287.788
47643.105,1281.797,263.064
431889.269,3314.81,2435.501
379765.065,3153.146,2398.564
383078.578,3276.958,2447.73
374188.232,3537.4,2432.65
375793.839,3072.942,2410.809
403209.329,3174.621,2417.055
394863.97,3272.622,2396.561
394844.319,3228.313,2406.548
400972.964,3238.202,2319.106
405300.558,3202.062,2430.613
373467.608,3382.015,2479.42
379757.807,3096.525,2467.633
385808.41,3168.414,2425.632
380096.049,3076.876,2572.633
384651.728,3420.161,2483.199
394250.453,3158.737,2444.15
392955.388,3213.608,2533.655
407127.806,3120.817,2397.657
406728.719,3388.604,2500.808
403224.796,3241.987,2368.115
377994.574,3155.268,2472.907
391626.274,3194.787,2488.818
389735.74,3114.589,2436.104
390991.184,3373.059,2523.589
380467.604,3331.43,2587.905
391109.196,3579.288,2402.429
390029.766,3232.013,2433.901
396123.183,3006.995,2494.442
390792.517,3250.957,2423.256
393567.923,3226.601,2490.143
378246.459,3351.8,2567.786
387490.937,3393.002,2432.19
387755.022,3331.245,2445.668
379014.771,3310.753,2397.018
376524.266,3297.782,2492.388
397706.082,3228.346,2416.561
395461.592,3101.7,2490.618
405929.582,3423.27,2455.593
394606.702,3174.06,2477.432
399926.086,3233.993,2477.588
385289.419,3284.611,2450.101
387064.353,3161.063,2532.676
378989.632,3443.207,2430.945
386791.803,3122.299,2449.613
391490.861,3255.14,2599.711
392493.988,3234.521,2435.147
390602.372,3294.76,2480.18
395882.978,3185.819,2437.161
395758.536,3404.817,2438.057
400877.535,3122.624,2382.67
388917.778,3619.709,2521.147
385623.837,3297.936,2496.755
403162.329,3181.878,2347.732
390578.874,3417.758,2494.644
393316.124,3107.235,2546.668
400760.015,3236.52,2513.406
401115.294,3618.184,2352.692
399913.674,3270.377,2535.681
403916.742,3066.904,2455.453
412281.663,3377.118,2436.677
388245.621,3344.336,2468.42
390478.389,3144.988,2495.273
394752.019,3259.2,2501.006
392149.772,3583.78,2507.773
385013.769,3460.614,2546.112
401808.535,3154.385,2490.687
